Date,CO_ppm,NO2_ppb,PM25_ugm3,YearMonth
2020-12-26,0.3,20.6,4.4,2020-12
2020-12-27,0.8,27.6,9.0,2020-12
2020-12-28,0.8,21.0,6.2,2020-12
2020-12-29,0.6,24.5,11.2,2020-12
2020-12-30,0.6,40.4,5.0,2020-12
2020-12-31,0.4,27.7,4.0,2020-12
2021-01-01,0.3,17.7,5.5,2021-01
2021-01-02,0.2,19.1,1.3,2021-01
2021-01-03,0.3,12.2,3.0,2021-01
2021-01-04,0.3,31.0,2.2,2021-01
2021-01-05,0.5,33.4,2.9,2021-01
2021-01-06,0.6,37.3,6.0,2021-01
2021-01-07,0.7,25.3,8.7,2021-01
2021-01-08,0.8,34.5,7.0,2021-01
2021-01-09,0.8,28.0,7.0,2021-01
2021-01-10,0.6,23.9,8.2,2021-01
2021-01-11,0.4,29.6,3.2,2021-01
2021-01-12,0.4,27.5,1.6,2021-01
2021-01-13,0.6,30.9,8.6,2021-01
2021-01-14,0.8,38.1,7.7,2021-01
2021-01-15,0.6,31.9,8.2,2021-01
2021-01-16,0.7,21.4,11.3,2021-01
2021-01-17,0.7,25.7,10.6,2021-01
2021-01-18,0.3,18.0,6.4,2021-01
2021-01-19,0.7,22.6,12.9,2021-01
2021-01-20,1.0,32.6,18.8,2021-01
2021-01-21,0.6,19.3,9.5,2021-01
2021-01-22,0.3,20.3,5.1,2021-01
2021-01-23,0.5,27.4,14.1,2021-01
2021-01-24,0.5,16.4,6.5,2021-01
2021-01-25,0.5,35.0,7.0,2021-01
2021-01-26,0.5,26.9,3.6,2021-01
2021-01-27,0.6,51.0,3.5,2021-01
2021-01-28,0.4,40.9,4.2,2021-01
2021-01-29,0.6,28.7,10.7,2021-01
2021-01-30,0.4,31.5,5.5,2021-01
2021-01-31,0.4,28.7,5.4,2021-01
2021-02-01,0.4,24.2,4.0,2021-02
2021-02-02,0.3,35.0,2.6,2021-02
2021-02-03,0.5,29.0,3.5,2021-02
2021-02-04,0.4,30.3,3.9,2021-02
2021-02-05,0.4,38.4,2.7,2021-02
2021-02-06,0.3,19.2,2.5,2021-02
2021-02-07,0.3,20.3,4.5,2021-02
2021-02-08,0.5,32.6,7.0,2021-02
2021-02-09,0.4,19.1,4.7,2021-02
2021-02-10,0.6,33.4,12.0,2021-02
2021-02-11,0.5,16.8,3.8,2021-02
2021-02-12,0.3,20.4,5.3,2021-02
2021-02-13,0.3,35.6,6.9,2021-02
2021-02-14,0.2,15.5,4.7,2021-02
2021-02-15,0.4,37.1,4.1,2021-02
2021-02-16,0.5,44.0,6.5,2021-02
2021-02-17,0.6,38.0,6.0,2021-02
2021-02-18,0.6,47.2,6.2,2021-02
2021-02-19,0.4,31.7,4.8,2021-02
2021-02-20,0.4,28.4,3.4,2021-02
2021-02-21,0.3,12.0,1.0,2021-02
2021-02-22,0.4,24.8,2.3,2021-02
2021-02-23,0.4,42.5,3.5,2021-02
2021-02-24,0.6,37.3,8.8,2021-02
2021-02-25,0.5,33.7,4.9,2021-02
2021-02-26,0.5,39.8,4.0,2021-02
2021-02-27,0.5,31.7,7.7,2021-02
2021-02-28,0.4,21.9,4.0,2021-02
2021-03-01,0.5,30.5,6.8,2021-03
2021-03-02,0.4,23.2,4.2,2021-03
2021-03-03,0.7,43.7,13.1,2021-03
2021-03-04,0.6,36.1,11.1,2021-03
2021-03-05,0.4,34.5,7.2,2021-03
2021-03-06,0.4,19.3,3.9,2021-03
2021-03-07,0.4,18.4,3.2,2021-03
2021-03-08,0.6,37.4,6.2,2021-03
2021-03-09,0.5,36.9,7.9,2021-03
2021-03-10,0.4,21.7,6.5,2021-03
2021-03-11,0.6,32.9,7.9,2021-03
2021-03-12,0.8,50.3,14.6,2021-03
2021-03-13,0.7,46.8,14.7,2021-03
2021-03-14,0.6,29.3,10.2,2021-03
2021-03-15,0.4,32.9,3.9,2021-03
2021-03-16,0.7,36.5,9.7,2021-03
2021-03-17,0.7,36.4,12.0,2021-03
2021-03-18,0.6,31.4,9.5,2021-03
2021-03-19,0.4,32.3,3.8,2021-03
2021-03-20,0.3,19.8,3.7,2021-03
2021-03-21,0.3,20.1,3.4,2021-03
2021-03-22,0.4,25.1,3.5,2021-03
2021-03-23,0.6,36.6,8.1,2021-03
2021-03-24,0.4,25.6,0.9,2021-03
2021-03-25,0.4,30.7,4.4,2021-03
2021-03-26,0.4,33.3,8.6,2021-03
2021-03-27,0.4,27.0,10.7,2021-03
2021-03-28,0.4,22.4,3.3,2021-03
2021-03-29,0.4,33.2,5.4,2021-03
2021-03-30,0.5,32.1,9.0,2021-03
2021-03-31,0.6,38.4,8.0,2021-03
2021-04-01,0.6,39.7,12.9,2021-04
2021-04-02,0.5,33.2,8.2,2021-04
2021-04-03,0.5,30.8,9.1,2021-04
2021-04-04,0.3,16.5,1.3,2021-04
2021-04-05,0.6,44.4,7.7,2021-04
2021-04-06,0.5,44.3,8.5,2021-04
2021-04-07,0.4,27.0,3.7,2021-04
2021-04-08,0.4,25.2,3.6,2021-04
2021-04-09,0.4,26.8,4.5,2021-04
2021-04-10,0.3,15.8,2.4,2021-04
2021-04-11,0.3,15.0,4.0,2021-04
2021-04-12,0.4,15.2,3.5,2021-04
2021-04-13,0.3,20.2,2.9,2021-04
2021-04-14,0.4,22.4,3.1,2021-04
2021-04-15,0.5,39.6,7.1,2021-04
2021-04-16,0.5,47.7,9.3,2021-04
2021-04-17,0.7,55.9,12.7,2021-04
2021-04-18,0.6,39.4,19.4,2021-04
2021-04-19,0.5,49.4,8.9,2021-04
2021-04-20,0.5,41.9,9.0,2021-04
2021-04-21,0.5,37.9,10.2,2021-04
2021-04-22,0.4,25.3,9.1,2021-04
2021-04-23,0.4,25.9,8.1,2021-04
2021-04-24,0.3,18.0,4.4,2021-04
2021-04-25,0.4,19.8,2.2,2021-04
2021-04-26,0.4,34.1,3.9,2021-04
2021-04-27,0.4,30.6,4.9,2021-04
2021-04-28,0.5,30.4,5.5,2021-04
2021-04-29,0.5,34.8,6.0,2021-04
2021-04-30,0.4,32.8,4.2,2021-04
2021-05-01,0.4,20.0,3.7,2021-05
2021-05-02,0.4,27.2,3.7,2021-05
2021-05-03,0.4,22.1,4.2,2021-05
2021-05-04,0.4,22.0,4.6,2021-05
2021-05-05,0.6,38.7,6.4,2021-05
2021-05-06,0.5,27.5,5.5,2021-05
2021-05-07,0.3,27.4,3.4,2021-05
2021-05-08,0.4,14.2,4.0,2021-05
2021-05-09,0.4,18.3,3.2,2021-05
2021-05-10,0.4,29.7,3.7,2021-05
2021-05-11,0.4,23.3,5.1,2021-05
2021-05-12,0.4,17.9,2.4,2021-05
2021-05-13,0.5,16.5,3.5,2021-05
2021-05-14,0.4,25.3,4.8,2021-05
2021-05-15,0.4,32.4,6.8,2021-05
2021-05-16,0.5,41.9,8.7,2021-05
2021-05-17,0.3,24.3,3.5,2021-05
2021-05-18,0.3,22.3,2.9,2021-05
2021-05-19,0.4,25.2,2.6,2021-05
2021-05-20,0.5,25.6,6.5,2021-05
2021-05-21,0.5,25.9,8.3,2021-05
2021-05-22,0.5,18.2,8.7,2021-05
2021-05-23,0.3,9.0,3.0,2021-05
2021-05-24,0.4,24.6,4.4,2021-05
2021-05-25,0.4,21.2,4.1,2021-05
2021-05-26,0.4,28.0,3.3,2021-05
2021-05-27,0.4,23.9,3.9,2021-05
2021-05-28,0.4,26.1,4.0,2021-05
2021-05-29,0.4,21.5,3.7,2021-05
2021-05-30,0.4,29.8,7.1,2021-05
2021-05-31,0.4,35.2,7.2,2021-05
2021-06-01,0.6,42.8,6.7,2021-06
2021-06-02,0.5,35.7,8.0,2021-06
2021-06-03,0.4,21.5,5.2,2021-06
2021-06-04,0.4,23.8,4.0,2021-06
2021-06-05,0.3,11.8,1.7,2021-06
2021-06-06,0.3,13.2,2.2,2021-06
2021-06-07,0.5,33.5,2.4,2021-06
2021-06-08,0.4,27.5,4.0,2021-06
2021-06-09,0.4,24.0,3.5,2021-06
2021-06-10,0.4,24.6,3.4,2021-06
2021-06-11,0.3,34.8,4.8,2021-06
2021-06-12,0.4,32.5,5.9,2021-06
2021-06-13,0.4,38.0,6.4,2021-06
2021-06-14,0.4,29.6,,2021-06
2021-06-15,0.3,19.6,,2021-06
2021-06-16,0.4,28.0,,2021-06
2021-06-17,0.4,32.1,,2021-06
2021-06-18,0.3,18.3,,2021-06
2021-06-19,0.3,17.9,5.7,2021-06
2021-06-20,0.3,9.0,4.7,2021-06
2021-06-21,0.5,32.9,7.6,2021-06
2021-06-22,0.5,33.1,8.6,2021-06
2021-06-23,0.4,24.9,5.7,2021-06
2021-06-24,0.4,28.3,7.1,2021-06
2021-06-25,0.4,,9.7,2021-06
2021-06-26,,,14.2,2021-06
2021-06-27,,,19.7,2021-06
2021-06-28,,,26.3,2021-06
2021-06-30,,,8.5,2021-06
2021-07-01,,,7.4,2021-07
2021-07-02,,,12.7,2021-07
2021-07-03,,,10.8,2021-07
2021-07-04,,,10.0,2021-07
2021-07-05,,,9.4,2021-07
2021-07-06,,,8.6,2021-07
2021-07-07,0.3,20.5,6.0,2021-07
2021-07-08,0.4,44.7,7.8,2021-07
2021-07-09,0.4,33.6,8.4,2021-07
2021-07-10,0.4,30.9,7.5,2021-07
2021-07-11,0.3,20.9,6.0,2021-07
2021-07-12,0.5,37.4,7.6,2021-07
2021-07-13,0.5,38.2,10.4,2021-07
2021-07-14,0.4,26.0,10.4,2021-07
2021-07-15,0.4,30.9,6.6,2021-07
2021-07-16,0.4,18.3,3.9,2021-07
2021-07-17,0.4,14.6,2.8,2021-07
2021-07-18,0.3,,3.7,2021-07
2021-07-19,0.5,32.7,6.0,2021-07
2021-07-20,0.3,21.2,3.4,2021-07
2021-07-21,0.4,24.5,4.9,2021-07
2021-07-22,0.4,20.9,3.2,2021-07
2021-07-23,0.4,24.3,4.2,2021-07
2021-07-24,0.3,17.2,2.6,2021-07
2021-07-25,0.3,,4.3,2021-07
2021-07-26,0.3,21.6,3.4,2021-07
2021-07-27,0.4,27.5,5.4,2021-07
2021-07-28,0.5,39.3,6.4,2021-07
2021-07-29,0.5,31.0,6.7,2021-07
2021-07-30,0.6,48.6,8.5,2021-07
2021-07-31,0.5,27.3,7.9,2021-07
2021-08-01,0.5,32.0,7.6,2021-08
2021-08-02,0.4,24.7,9.6,2021-08
2021-08-03,0.6,36.2,11.1,2021-08
2021-08-04,0.4,24.5,5.6,2021-08
2021-08-05,0.5,26.6,4.9,2021-08
2021-08-06,0.5,29.1,5.7,2021-08
2021-08-07,0.4,12.4,2.6,2021-08
2021-08-08,0.4,14.7,7.0,2021-08
2021-08-09,0.4,26.2,7.0,2021-08
2021-08-10,0.4,21.1,5.3,2021-08
2021-08-11,0.4,32.3,5.8,2021-08
2021-08-12,0.7,62.9,22.0,2021-08
2021-08-13,1.0,77.0,46.5,2021-08
2021-08-14,0.9,43.0,12.4,2021-08
2021-08-15,0.7,36.5,8.0,2021-08
2021-08-16,0.5,24.7,8.3,2021-08
2021-08-17,0.4,27.3,8.2,2021-08
2021-08-18,0.5,45.2,11.8,2021-08
2021-08-19,0.5,38.1,10.3,2021-08
2021-08-20,0.4,17.6,3.8,2021-08
2021-08-21,0.4,19.0,4.4,2021-08
2021-08-22,0.4,14.7,7.0,2021-08
2021-08-23,0.5,26.8,8.0,2021-08
2021-08-24,0.6,32.1,8.0,2021-08
2021-08-25,0.7,44.0,11.2,2021-08
2021-08-26,0.4,20.9,4.9,2021-08
2021-08-27,0.3,14.0,5.1,2021-08
2021-08-28,0.4,22.1,6.0,2021-08
2021-08-29,0.4,18.6,4.1,2021-08
2021-08-30,0.5,31.5,6.1,2021-08
2021-08-31,0.4,23.4,4.6,2021-08
2021-09-01,0.4,18.1,4.7,2021-09
2021-09-02,0.6,44.6,8.5,2021-09
2021-09-03,0.6,44.3,11.3,2021-09
2021-09-04,0.6,34.0,7.9,2021-09
2021-09-05,0.5,28.3,5.1,2021-09
2021-09-06,0.5,30.6,4.8,2021-09
2021-09-07,0.5,42.0,7.7,2021-09
2021-09-08,0.5,42.8,7.4,2021-09
2021-09-09,0.5,39.8,7.5,2021-09
2021-09-10,0.4,29.5,4.2,2021-09
2021-09-11,0.4,27.6,4.7,2021-09
2021-09-12,0.4,15.1,4.1,2021-09
2021-09-13,0.5,27.0,5.3,2021-09
2021-09-14,0.5,27.6,8.7,2021-09
2021-09-15,0.4,28.4,4.9,2021-09
2021-09-16,0.5,32.1,6.7,2021-09
2021-09-17,0.5,32.1,8.7,2021-09
2021-09-18,0.3,23.7,4.8,2021-09
2021-09-19,0.4,27.1,6.1,2021-09
2021-09-20,0.5,26.3,6.4,2021-09
2021-09-21,0.6,35.7,8.0,2021-09
2021-09-22,0.6,30.7,9.0,2021-09
2021-09-23,0.5,22.9,6.7,2021-09
2021-09-24,0.6,36.3,8.9,2021-09
2021-09-25,0.6,29.4,11.0,2021-09
2021-09-26,0.3,25.4,6.5,2021-09
2021-09-27,0.4,28.4,4.2,2021-09
2021-09-28,0.3,30.1,5.2,2021-09
2021-09-29,0.6,29.3,7.7,2021-09
2021-09-30,0.5,33.2,7.7,2021-09
2021-10-01,0.4,22.8,6.5,2021-10
2021-10-02,0.5,31.6,10.2,2021-10
2021-10-03,0.4,24.8,5.6,2021-10
2021-10-04,0.6,38.3,7.3,2021-10
2021-10-05,0.6,29.3,6.8,2021-10
2021-10-06,0.4,28.3,3.7,2021-10
2021-10-07,0.5,23.3,5.3,2021-10
2021-10-08,0.8,48.6,12.4,2021-10
2021-10-09,0.7,18.0,7.0,2021-10
2021-10-10,0.3,27.2,5.1,2021-10
2021-10-11,0.6,38.0,6.5,2021-10
2021-10-12,0.5,22.9,7.0,2021-10
2021-10-13,0.6,29.6,9.5,2021-10
2021-10-14,0.5,22.1,4.0,2021-10
2021-10-15,0.5,27.8,7.2,2021-10
2021-10-16,0.5,16.7,5.4,2021-10
2021-10-17,0.5,28.2,5.0,2021-10
2021-10-18,0.5,31.3,3.9,2021-10
2021-10-19,0.6,29.7,9.9,2021-10
2021-10-20,0.5,,7.7,2021-10
2021-10-21,0.5,29.6,4.2,2021-10
2021-10-22,0.5,30.1,7.1,2021-10
2021-10-23,0.4,16.6,6.0,2021-10
2021-10-24,0.3,12.2,2.5,2021-10
2021-10-25,0.3,15.1,3.4,2021-10
2021-10-26,0.3,20.2,4.3,2021-10
2021-10-27,0.4,27.1,7.0,2021-10
2021-10-28,0.4,20.4,2.7,2021-10
2021-10-29,0.3,21.2,3.5,2021-10
2021-10-30,0.3,21.4,5.2,2021-10
2021-10-31,0.7,28.6,12.8,2021-10
2021-11-01,1.0,40.0,14.0,2021-11
2021-11-02,0.8,27.1,8.9,2021-11
2021-11-03,0.6,32.3,10.8,2021-11
2021-11-04,0.4,27.4,4.7,2021-11
2021-11-05,0.4,26.8,8.0,2021-11
2021-11-06,0.4,15.5,2.7,2021-11
2021-11-07,0.3,16.4,2.3,2021-11
2021-11-08,0.4,26.6,4.1,2021-11
2021-11-09,0.3,19.9,5.8,2021-11
2021-11-10,0.7,26.6,8.7,2021-11
2021-11-11,0.5,20.4,2.3,2021-11
2021-11-12,0.5,27.5,5.3,2021-11
2021-11-13,0.5,25.6,9.7,2021-11
2021-11-14,0.2,8.1,0.5,2021-11
2021-11-15,0.3,17.1,2.6,2021-11
2021-11-16,0.4,29.7,5.6,2021-11
2021-11-17,1.0,33.0,9.0,2021-11
2021-11-18,1.0,36.3,8.1,2021-11
2021-11-19,0.4,21.8,4.9,2021-11
2021-11-20,0.5,27.4,10.6,2021-11
2021-11-21,0.8,23.5,15.4,2021-11
2021-11-22,0.9,27.9,13.5,2021-11
2021-11-23,0.5,27.4,5.9,2021-11
2021-11-24,0.7,36.7,7.8,2021-11
2021-11-25,0.7,21.1,8.6,2021-11
2021-11-26,0.4,26.9,4.5,2021-11
2021-11-27,0.5,17.9,5.2,2021-11
2021-11-28,0.3,16.5,2.1,2021-11
2021-11-29,0.5,30.8,4.3,2021-11
2021-11-30,0.4,27.8,3.1,2021-11
2021-12-01,0.3,18.2,2.9,2021-12
2021-12-02,0.3,15.0,4.2,2021-12
2021-12-03,0.3,16.9,7.5,2021-12
2021-12-04,0.4,21.4,8.7,2021-12
2021-12-05,0.5,23.4,8.3,2021-12
2021-12-06,0.4,24.7,6.2,2021-12
2021-12-07,0.5,26.9,4.3,2021-12
2021-12-08,0.5,24.7,3.5,2021-12
2021-12-09,0.6,31.3,6.6,2021-12
2021-12-10,0.5,31.1,3.8,2021-12
2021-12-11,0.3,13.3,2.2,2021-12
2021-12-12,0.4,19.2,3.0,2021-12
2021-12-13,0.7,42.3,6.8,2021-12
2021-12-14,0.5,33.9,4.0,2021-12
2021-12-15,0.4,27.6,3.7,2021-12
2021-12-16,0.6,30.6,6.1,2021-12
2021-12-17,0.7,22.3,10.2,2021-12
2021-12-18,0.3,28.1,4.5,2021-12
2021-12-19,0.4,24.8,7.0,2021-12
2021-12-20,0.3,23.9,4.9,2021-12
2021-12-21,0.6,22.2,6.8,2021-12
2021-12-22,0.5,30.9,5.5,2021-12
2021-12-23,0.3,26.7,2.5,2021-12
2021-12-24,0.4,15.8,3.0,2021-12
2021-12-25,0.3,9.5,4.4,2021-12
2021-12-26,0.3,7.4,4.9,2021-12
2021-12-27,0.3,22.1,6.8,2021-12
2021-12-28,0.3,16.3,5.5,2021-12
2021-12-29,0.3,20.0,6.1,2021-12
2021-12-30,0.3,22.2,5.3,2021-12
2021-12-31,0.4,30.3,10.7,2021-12
2022-01-01,0.4,23.9,14.2,2022-01
2022-01-02,0.5,32.5,7.3,2022-01
2022-01-03,0.3,28.9,4.5,2022-01
2022-01-04,0.4,30.6,6.2,2022-01
2022-01-05,0.3,23.3,3.3,2022-01
2022-01-06,0.3,27.6,4.4,2022-01
2022-01-07,0.4,31.5,4.2,2022-01
2022-01-08,0.4,24.0,7.4,2022-01
2022-01-09,1.1,33.3,13.3,2022-01
2022-01-10,1.0,37.6,12.7,2022-01
2022-01-11,0.5,39.5,5.7,2022-01
2022-01-12,0.8,35.0,8.3,2022-01
2022-01-13,0.7,31.8,8.3,2022-01
2022-01-14,0.9,27.3,9.6,2022-01
2022-01-15,0.9,22.4,13.8,2022-01
2022-01-16,0.5,18.2,9.6,2022-01
2022-01-17,0.7,23.5,11.8,2022-01
2022-01-18,0.6,28.7,6.1,2022-01
2022-01-19,0.6,29.7,6.4,2022-01
2022-01-20,0.6,22.9,4.0,2022-01
2022-01-21,0.6,33.6,9.6,2022-01
2022-01-22,0.4,16.7,7.3,2022-01
2022-01-23,0.4,14.0,8.9,2022-01
2022-01-24,0.3,15.4,10.2,2022-01
2022-01-25,0.5,19.4,11.2,2022-01
2022-01-26,0.3,18.8,10.4,2022-01
2022-01-27,,32.0,14.3,2022-01
2022-01-28,,31.5,16.4,2022-01
2022-01-29,,30.5,10.4,2022-01
2022-01-30,0.4,24.4,9.1,2022-01
2022-01-31,0.5,29.8,5.3,2022-01
2022-02-01,0.5,32.0,7.2,2022-02
2022-02-02,0.4,23.6,6.6,2022-02
2022-02-03,0.6,28.4,8.2,2022-02
2022-02-04,0.5,24.5,4.8,2022-02
2022-02-05,0.4,24.7,6.7,2022-02
2022-02-06,0.9,28.4,13.5,2022-02
2022-02-07,0.9,30.5,9.4,2022-02
2022-02-08,0.6,34.6,8.2,2022-02
2022-02-09,0.7,38.6,13.1,2022-02
2022-02-10,0.7,19.7,7.0,2022-02
2022-02-11,0.3,17.2,6.1,2022-02
2022-02-12,0.5,24.0,9.8,2022-02
2022-02-13,0.8,35.2,17.7,2022-02
2022-02-14,0.6,31.9,8.2,2022-02
2022-02-15,0.5,32.1,12.3,2022-02
2022-02-16,0.7,32.5,11.1,2022-02
2022-02-17,0.6,27.9,7.8,2022-02
2022-02-18,0.6,29.3,9.1,2022-02
2022-02-19,0.6,20.9,4.5,2022-02
2022-02-20,0.4,16.1,4.4,2022-02
2022-02-21,0.5,18.8,5.0,2022-02
2022-02-22,0.3,10.1,6.0,2022-02
2022-02-23,0.7,30.3,13.5,2022-02
2022-02-24,0.6,34.2,10.4,2022-02
2022-02-25,0.8,35.1,12.4,2022-02
2022-02-26,0.9,31.7,9.3,2022-02
2022-02-27,0.4,15.6,4.2,2022-02
2022-02-28,0.4,28.0,3.9,2022-02
2022-03-01,0.6,24.4,5.3,2022-03
2022-03-02,0.6,23.4,6.9,2022-03
2022-03-03,0.5,30.1,5.6,2022-03
2022-03-04,0.4,20.8,5.8,2022-03
2022-03-05,0.5,29.7,8.2,2022-03
2022-03-06,0.7,28.8,14.2,2022-03
2022-03-07,0.6,25.4,11.8,2022-03
2022-03-08,0.6,33.2,11.2,2022-03
2022-03-09,0.6,18.2,6.4,2022-03
2022-03-10,0.6,42.2,9.5,2022-03
2022-03-11,0.6,37.5,7.4,2022-03
2022-03-12,0.5,25.0,9.0,2022-03
2022-03-13,0.4,26.5,4.0,2022-03
2022-03-14,0.5,30.7,8.0,2022-03
2022-03-15,0.4,23.2,6.5,2022-03
2022-03-16,0.4,28.9,6.9,2022-03
2022-03-17,0.5,26.7,7.3,2022-03
2022-03-18,0.5,29.2,6.1,2022-03
2022-03-19,0.4,18.1,4.7,2022-03
2022-03-20,0.4,17.3,5.5,2022-03
2022-03-21,0.5,25.8,5.1,2022-03
2022-03-22,0.8,26.8,6.0,2022-03
2022-03-23,0.9,22.1,6.4,2022-03
2022-03-24,0.6,24.5,4.7,2022-03
2022-03-25,0.6,34.9,8.1,2022-03
2022-03-26,0.5,40.5,9.4,2022-03
2022-03-27,0.5,36.7,8.0,2022-03
2022-03-28,0.4,29.0,5.1,2022-03
2022-03-29,0.6,25.2,6.7,2022-03
2022-03-30,0.4,31.3,3.3,2022-03
2022-03-31,0.4,31.6,3.7,2022-03
2022-04-01,0.4,29.8,3.6,2022-04
2022-04-02,0.4,20.5,3.8,2022-04
2022-04-03,0.4,12.8,4.7,2022-04
2022-04-04,0.3,20.6,5.4,2022-04
2022-04-05,0.4,35.9,5.7,2022-04
2022-04-06,0.6,43.8,5.9,2022-04
2022-04-07,0.7,47.4,10.3,2022-04
2022-04-08,0.5,21.1,3.2,2022-04
2022-04-09,0.3,13.1,3.6,2022-04
2022-04-10,0.4,18.6,2.0,2022-04
2022-04-11,0.4,19.3,3.1,2022-04
2022-04-12,0.4,28.3,5.2,2022-04
2022-04-13,0.5,25.7,4.5,2022-04
2022-04-14,0.4,34.4,6.7,2022-04
2022-04-15,0.5,27.9,4.6,2022-04
2022-04-16,0.4,19.9,3.8,2022-04
