YearMonth,CO_ppm,NO2_ppb,PM25_ugm3,Electric Vehicle (EV) Total,Percent Electric Vehicles
2017-01,0.7612903225806452,36.025925925925925,8.412903225806453,12421.0,0.89
2017-02,0.54,36.95,5.325,12806.0,0.92
2017-03,0.5419354838709678,37.61290322580645,4.261290322580645,13099.0,0.94
2017-04,0.503448275862069,35.86206896551724,5.3,13435.0,0.97
2017-05,0.5548387096774193,37.236,6.548387096774194,13781.0,0.99
2017-06,0.5,30.540000000000003,6.574074074074074,14124.0,1.02
2017-07,0.5161290322580645,29.36451612903226,6.699999999999999,14421.0,1.04
2017-08,0.6555555555555556,42.87931034482759,16.43548387096774,14698.0,1.06
2017-09,0.6181818181818182,38.38518518518519,10.89,14994.0,1.08
2017-10,0.58,32.257894736842104,8.990322580645161,15416.0,1.11
2017-11,0.6142857142857142,34.48823529411764,7.242857142857143,15737.0,1.14
2017-12,0.7935483870967742,,9.270967741935484,15952.0,1.15
2018-01,0.6193548387096774,35.88846153846154,6.245161290322581,16488.0,1.19
2018-02,0.5214285714285715,34.42857142857143,5.256521739130435,16767.0,1.21
2018-03,0.5935483870967742,37.765517241379314,6.687096774193549,17114.0,1.24
2018-04,0.5133333333333333,33.25333333333334,6.076923076923077,17566.0,1.27
2018-05,0.5193548387096775,38.60333333333333,7.593548387096774,18215.0,1.31
2018-06,0.47,31.127586206896552,6.319999999999999,18836.0,1.36
2018-07,0.532258064516129,39.81612903225806,8.841935483870968,19272.0,1.39
2018-08,0.5545454545454546,42.03103448275862,24.870967741935484,19732.0,1.42
2018-09,0.53,28.775,7.958620689655173,20274.0,1.46
2018-10,0.6774193548387096,31.693548387096776,13.712903225806452,21244.0,1.52
2018-11,0.6260869565217392,32.916666666666664,10.66,22169.0,1.59
2018-12,0.567741935483871,31.8,7.0,22796.0,1.63
2019-01,0.7555555555555555,38.36774193548387,10.64516129032258,23831.0,1.7
2019-02,0.5720000000000001,31.564285714285717,7.607142857142857,24276.0,1.73
2019-03,0.4333333333333333,35.95,7.674193548387097,24443.0,1.74
2019-04,0.4833333333333333,29.326666666666664,5.468,25130.0,1.78
2019-05,0.5419354838709678,38.15806451612904,8.212903225806452,25545.0,1.81
2019-06,0.4566666666666666,29.651724137931037,5.644827586206896,26074.0,1.84
2019-07,0.4935483870967742,28.625806451612902,5.699999999999999,26718.0,1.89
2019-08,0.5357142857142857,31.741935483870968,7.338709677419355,27186.0,1.92
2019-09,0.4933333333333333,27.81379310344828,5.29,27684.0,1.95
2019-10,0.5642857142857143,29.393103448275863,7.203333333333333,28739.0,2.02
2019-11,0.6133333333333333,26.616666666666667,9.596666666666666,29032.0,2.04
2019-12,0.6516129032258065,30.6,7.670967741935483,29470.0,2.07
2020-01,0.4516129032258064,32.179310344827584,3.938709677419354,30789.0,2.16
2020-02,0.5413793103448276,32.334482758620695,6.055172413793104,31094.0,2.17
2020-03,0.4444444444444444,32.73225806451613,6.193548387096774,31576.0,2.21
2020-04,0.3842105263157894,23.7551724137931,5.06923076923077,31756.0,2.24
2020-05,,26.961290322580645,4.258064516129032,31683.0,2.25
2020-06,,21.99333333333333,5.42,31799.0,2.27
2020-07,0.5,23.89032258064516,5.28888888888889,32637.0,2.33
2020-08,0.5142857142857143,25.787096774193547,7.729629629629629,32965.0,2.35
2020-09,0.54,37.86,42.95,33263.0,2.37
2020-10,0.5370370370370371,26.496774193548383,8.274193548387096,33868.0,2.41
2020-11,0.52,26.916666666666668,7.75,34661.0,2.47
2020-12,0.6322580645161291,29.51935483870968,8.45483870967742,35065.0,2.5
2021-01,0.535483870967742,27.961290322580645,6.974193548387096,36094.0,2.58
2021-02,0.425,29.99642857142857,4.832142857142857,36653.0,2.62
2021-03,0.5,31.44516129032258,7.270967741935484,37063.0,2.65
2021-04,0.4466666666666666,31.33333333333333,6.676666666666667,38184.0,2.72
2021-05,0.4129032258064516,24.68387096774193,4.738709677419355,38935.0,2.77
2021-06,0.396,26.558333333333334,7.333333333333333,39633.0,2.82
2021-07,0.4039999999999999,28.35217391304348,6.674193548387097,40875.0,2.91
2021-08,0.5,29.651612903225807,8.803225806451612,41805.0,2.97
2021-09,0.4833333333333333,30.746666666666663,6.8133333333333335,42530.0,3.03
2021-10,0.4806451612903226,26.03333333333333,6.280645161290322,43712.0,3.11
2021-11,0.5433333333333333,25.4,6.633333333333334,44761.0,3.19
2021-12,0.4161290322580645,23.32258064516129,5.480645161290322,45649.0,3.26
2022-01,0.5464285714285715,27.041935483870965,8.845161290322581,46704.0,3.33
2022-02,0.5857142857142856,26.99642857142857,8.585714285714285,47679.0,3.41
2022-03,0.532258064516129,27.990322580645163,6.993548387096775,48573.0,3.48
2022-04,0.4238095238095238,29.111538461538466,5.036666666666666,50076.0,3.58
2022-05,0.3999999999999999,26.79655172413793,4.819354838709677,50983.0,3.65
2022-06,0.4033333333333333,25.74333333333333,5.28,51955.0,3.72
2022-07,0.4483870967741936,28.280645161290323,7.45483870967742,53254.0,3.82
2022-08,0.5032258064516129,33.55483870967742,8.269565217391303,54477.0,3.9
2022-09,0.5321428571428571,30.741666666666664,12.183333333333334,55173.0,3.95
2022-10,0.5928571428571429,36.89655172413793,23.717241379310344,57163.0,4.1
2022-11,0.5137931034482759,25.89333333333333,,58947.0,4.23
2022-12,0.3896551724137931,24.723333333333336,6.277777777777778,60280.0,4.33
2023-01,0.5096774193548387,28.46451612903226,7.725806451612903,62214.0,4.47
2023-02,0.4499999999999999,28.211111111111112,7.625,63692.0,4.58
2023-03,0.4580645161290322,32.56774193548387,7.106451612903226,65130.0,4.71
2023-04,0.38,24.62758620689655,5.933333333333334,67471.0,4.87
2023-05,0.375,26.96190476190477,8.293548387096775,69716.0,5.02
2023-06,0.38,24.52758620689655,7.256521739130435,72219.0,5.18
2023-07,0.4052631578947368,27.276,7.553333333333333,74396.0,5.33
2023-08,0.4869565217391304,31.317241379310342,11.02258064516129,77766.0,5.57
2023-09,0.4666666666666667,29.203333333333333,7.136666666666667,79949.0,5.72
2023-10,0.5,23.83225806451613,7.693548387096774,82439.0,5.89
2023-11,0.5142857142857143,25.768965517241377,9.623333333333331,84176.0,6.02
2023-12,0.5434782608695652,26.264285714285712,7.267741935483872,86108.0,6.15
2024-01,0.4153846153846154,27.913636363636364,5.445161290322581,89127.0,6.35
2024-02,,25.107407407407408,4.289655172413793,91442.0,6.53
2024-03,0.2571428571428572,26.357142857142858,4.763333333333334,93047.0,6.64
2024-04,0.2699999999999999,22.986666666666668,5.0233333333333325,95117.0,6.77
2024-05,0.264516129032258,24.038709677419355,5.567741935483871,96942.0,6.91
2024-06,0.2392857142857143,23.29310344827586,4.98,98149.0,6.99
2024-07,0.2655172413793104,28.680769230769236,7.300000000000001,100660.0,7.15
2024-08,0.2777777777777778,28.180769230769236,8.170967741935485,103208.0,7.33
2024-09,0.31,27.527272727272727,8.553333333333335,105396.0,7.48
2024-10,,26.079310344827583,7.84516129032258,107937.0,7.65
2024-11,,24.43,7.736666666666666,109700.0,7.77
2024-12,,25.006451612903227,7.848387096774194,111462.0,7.89
